,0
0,강동구
1,서북구
2,아이콘
3,오금동
4,충청남도
5,동
6,명일제
7,수원시
8,당감제
9,독산제
10,이곡
11,좌제
12,광진구
13,안산시
14,송파구
15,성남동
16,장유
17,금산면
18,연수구
19,위치
20,단원구
21,금천구
22,구로구
23,신대방제
24,장안구
25,서구
26,화양동
27,평리
28,일산동구
29,신도림동
30,울산광역시
31,중산동
32,광주광역시
33,창원시
34,전국
35,광산구
36,별내동
37,장수서창동
38,수정구
39,해운대구
40,김해시
41,남양주시
42,대현동
43,중구
44,부산진구
45,혜화동
46,본오
47,경기도
48,영화동
49,남구
50,남동구
51,내외동
52,대전광역시
53,이동
54,동구
55,수진
56,장지동
57,광명시
58,물금읍
59,진주시
60,대구광역시
61,쌍용
62,군포시
63,상록구
64,수암동
65,진천동
66,학익
67,동작구
68,종로구
69,시흥제
70,경상남도
71,진해구
72,인천광역시
73,고양시
74,부산광역시
75,성남시
76,우산동
77,천안시
78,양산시
79,달서구
80,홍제제
81,소하
82,용현
83,동춘
84,주안
85,중앙동
86,석동
87,약사동
88,서울특별시
89,둔산
90,양지동
91,서대문구
92,서북구
93,익산시
94,아이콘
95,충청남도
96,동
97,이곡
98,동백동
99,광진구
100,안산시
101,송파구
102,서원동
103,성북구
104,북구
105,일산서구
106,부천시
107,위치
108,단원구
109,금천구
110,동안구
111,서구
112,유가읍
113,신방동
114,충청북도
115,구암동
116,봉명
117,의정부시
118,창원시
119,전국
120,부안읍
121,주엽
122,계양구
123,장수서창동
124,안양시
125,용인시
126,평촌동
127,남양주시
128,관악구
129,도량동
130,아주동
131,청주시
132,다산
133,상
134,경기도
135,정릉제
136,남구
137,거제시
138,동대문구
139,남동구
140,동남구
141,대전광역시
142,이동
143,장지동
144,구의제
145,흥덕구
146,전라북도
147,진주시
148,상갈동
149,구미시
150,대치
151,아산시
152,답십리제
153,경주시
154,도담동
155,대구광역시
156,쌍용
157,기흥구
158,상록구
159,임오동
160,온양
161,관저
162,만수
163,진천동
164,송산
165,달성군
166,함안군
167,영등
168,황성동
