,0
0,"200,907"
1,"12,000"
2,"12,000"
3,"25,000"
4,"35,000"
5,"10,000"
6,"3,000"
7,"5,000"
8,"2,500"
9,"2,500"
10,"2,500"
11,"2,000"
12,"6,000"
13,"2,500"
14,"5,000"
15,"4,000"
16,"12,000"
17,"2,000"
18,"2,000"
19,"35,000"
20,"50,000"
21,"4,000"
22,"2,500"
23,"30,000"
24,"8,000"
25,"1,000"
26,"5,000"
27,"3,000"
28,"5,000"
29,"3,000"
30,"5,000"
31,"5,000"
32,"3,000"
33,"5,000"
34,"8,000"
35,"3,500"
36,"5,000"
37,"60,000"
38,"2,000"
39,"17,000"
40,"2,000"
41,"30,000"
42,"3,000"
43,"16,500"
44,"2,000"
45,"3,000"
46,"8,000"
47,"4,000"
48,"1,000"
49,"40,000"
50,"3,000"
51,"7,000"
52,"3,000"
53,"7,000"
54,"7,000"
55,"120,000"
56,"88,888"
57,"4,000"
58,"20,000"
59,"40,000"
60,"1,000"
61,"4,000"
62,"3,000"
63,"3,500"
64,"4,000"
65,"7,000"
66,"10,000"
67,"4,000"
68,"3,000"
69,"1,000"
70,"1,111"
71,"2,000"
72,"6,000"
73,"3,000"
74,"4,000"
75,"4,000"
76,"1,000"
77,"1,111"
78,"1,111"
79,"3,000"
80,"200,907"
81,"7,000"
82,"1,000"
83,"10,000"
84,"12,000"
85,"1,000"
86,"10,000"
87,"10,000"
88,"70,000"
89,"68,000"
90,"5,000"
91,"5,000"
92,"3,000"
93,"2,000"
94,"35,000"
95,"250,000"
96,"3,000"
97,"5,000"
98,"4,000"
99,"3,000"
100,"550,000"
101,"5,000"
102,"3,000"
103,"1,000"
104,"29,000"
105,"3,000"
106,"5,000"
107,"19,000"
108,"3,000"
109,"4,000"
110,"5,000"
111,"6,000"
112,"17,000"
113,"6,000"
114,"8,500"
115,"4,500"
116,"3,500"
117,"3,000"
118,"1,000"
119,"21,500"
120,"21,500"
121,"40,000"
122,"65,000"
123,"30,000"
124,"30,000"
125,"30,000"
126,"4,000"
127,"16,000"
128,"16,000"
129,"28,000"
130,"14,000"
131,"16,000"
132,"100,000"
133,"3,000"
134,"20,000"
135,"5,000"
